iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.100833,0.00643907,0.0567685,1,346,1,0
10000,28.6839,0.00643907,0.0567685,5514,741766,9999,0
20000,51.9937,0.00643907,0.0567685,10239,1110618,10000,0
30000,72.5375,0.00643907,0.0567685,14986,1241949,10000,0
40000,92.2461,0.00643907,0.0567685,19541,1268689,10000,0
50000,113.045,0.00643907,0.0567685,24006,1323274,10000,0
60000,136.703,0.00643907,0.0567685,28496,1530900,10000,0
70000,158.21,0.00643907,0.0567685,33016,1520930,10000,0
80000,181.281,0.00643907,0.0567685,37415,1565822,10000,0
90000,205.562,0.00643907,0.0567685,41710,1649336,10000,0
100000,229.837,0.00643907,0.0567685,45967,1689129,10000,0
110000,255.439,0.00643907,0.0567685,50251,1742235,10000,0
120000,281.392,0.00643907,0.0567685,54517,1766553,10000,0
130000,307.762,0.00643907,0.0567685,58751,1756582,10000,0
140000,334.707,0.00643907,0.0567685,63023,1746616,10000,0
150000,362.996,0.00643907,0.0567685,67217,1783293,10000,0
160000,391.574,0.00643907,0.0567685,71322,1773324,10000,0
170000,421.296,0.00643907,0.0567685,75427,1821753,10000,0
180000,451.311,0.00643907,0.0567685,79567,1831563,10000,0
190000,482.232,0.00643907,0.0567685,83608,1881511,10000,0
200000,513.901,0.00643907,0.0567685,87567,1919208,10000,0
210000,545.827,0.00643907,0.0567685,91630,1909234,10000,0
220000,578.406,0.00643907,0.0567685,95474,1899253,10000,0
230000,610.889,0.00643907,0.0567685,99427,1889969,10000,0
240000,644.944,0.00643907,0.0567685,103328,1972785,10000,0
250000,678.752,0.00643907,0.0567685,107215,1963157,10000,0
260000,713.524,0.00643907,0.0567685,111123,1956628,10000,0
270000,748.318,0.00643907,0.0567685,114958,1989844,10000,0
280000,784.59,0.00643907,0.0567685,118815,2070425,10000,0
290000,820.918,0.00643907,0.0567685,122660,2060455,10000,0
300000,857.478,0.00643907,0.0567685,126536,2051155,10000,0
310000,895.634,0.00643907,0.0567685,130346,2059422,10000,0
320000,934.931,0.00643907,0.0567685,134212,2122328,10000,0
330000,975.138,0.00643907,0.0567685,138096,2305549,10000,0
340000,1015.89,0.00643907,0.0567685,141793,2405986,10000,0
350000,1056,0.00643907,0.0567685,145455,2396010,10000,0
360000,1096.33,0.00643907,0.0567685,149236,2429400,10000,0
370000,1137.91,0.00643907,0.0567685,152795,2419430,10000,0
380000,1179.15,0.00643907,0.0567685,156479,2409452,10000,0
390000,1221.2,0.00643907,0.0567685,160048,2399485,10000,0
400000,1263.32,0.00643907,0.0567685,163766,2389846,10000,0
410000,1306.65,0.00643907,0.0567685,167391,2379869,10000,0
420000,1350.61,0.00643907,0.0567685,170997,2410567,10000,0
430000,1394.54,0.00643907,0.0567685,174683,2400597,10000,0
440000,1439.32,0.00643907,0.0567685,178262,2390958,10000,0
450000,1484.85,0.00643907,0.0567685,181701,2462836,10000,0
460000,1530.94,0.00643907,0.0567685,185367,2454079,10000,0
470000,1576.64,0.00643907,0.0567685,188906,2486649,10000,0
480000,1623.5,0.00643907,0.0567685,192357,2476663,10000,0
490000,1669.1,0.00643907,0.0567685,195935,2467376,10000,0
500000,1715.63,0.00643907,0.0567685,199514,2497444,10000,0
510000,1762.26,0.00643907,0.0567685,203071,2487476,10000,0
520000,1811.14,0.00643907,0.0567685,206535,2519233,10000,0
530000,1859.62,0.00643907,0.0567685,209979,2550431,10000,0
540000,1908.51,0.00643907,0.0567685,213597,2620287,10000,0
550000,1957.89,0.00643907,0.0567685,217162,2610529,10000,0
560000,2008.15,0.00643907,0.0567685,220515,2600881,10000,0
570000,2058.04,0.00643907,0.0567685,223841,2662091,10000,0
580000,2108.45,0.00643907,0.0567685,227370,2660045,10000,0
590000,2160.91,0.00643907,0.0567685,230564,2687136,10000,0
600000,2212.64,0.00643907,0.0567685,233941,2753831,10000,0
610000,2265.19,0.00643907,0.0567685,237321,2744221,10000,0
620000,2319.36,0.00643907,0.0567685,240535,2771303,10000,0
630000,2374.45,0.00643907,0.0567685,243919,2762225,10000,0
640000,2430.38,0.00643907,0.0567685,247169,2752267,10000,0
650000,2485.79,0.00643907,0.0567685,250419,2742294,10000,0
660000,2541.73,0.00643907,0.0567685,253851,2732311,10000,0
670000,2598.8,0.00643907,0.0567685,257314,2722350,10000,0
680000,2656.44,0.00643907,0.0567685,260600,2712376,10000,0
690000,2715.22,0.00643907,0.0567685,263898,2702407,10000,0
700000,2773.22,0.00643907,0.0567685,267197,2730501,10000,0
710000,2831.76,0.00643907,0.0567685,270428,2757587,10000,0
720000,2889.85,0.00643907,0.0567685,273814,2748987,10000,0
730000,2949.42,0.00643907,0.0567685,276978,2776372,10000,0
740000,3007.21,0.00643907,0.0567685,280471,2803813,10000,0
750000,3068.82,0.00643907,0.0567685,283560,2794507,10000,0
760000,3130.36,0.00643907,0.0567685,286840,2784539,10000,0
770000,3191.22,0.00643907,0.0567685,290043,2774894,10000,0
780000,3254.02,0.00643907,0.0567685,293138,2801781,10000,0
790000,3314.25,0.00643907,0.0567685,296603,2792150,10000,0
800000,3376.46,0.00643907,0.0567685,299742,2817325,10000,0
810000,3439.09,0.00643907,0.0567685,302946,2833048,10000,0
820000,3503.5,0.00643907,0.0567685,306057,2833748,10000,0
830000,3565.76,0.00643907,0.0567685,309356,2859012,10000,0
840000,3631.52,0.00643907,0.0567685,312388,2849038,10000,0
