iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0425534,0.0334391,0.0747685,1,346,1,0
10000,14.0927,0.0334391,0.0747685,5509,725359,9999,0
20000,26.2024,0.0334391,0.0747685,10235,1082162,10000,0
30000,36.2734,0.0334391,0.0747685,14958,1107065,10000,0
40000,47.151,0.0334391,0.0747685,19540,1210417,10000,0
50000,58.8959,0.0334391,0.0747685,24043,1400952,10000,0
60000,69.3813,0.0334391,0.0747685,28553,1395284,10000,0
70000,80.5382,0.0334391,0.0747685,33046,1439481,10000,0
80000,91.6616,0.0334391,0.0747685,37459,1448490,10000,0
90000,103.694,0.0334391,0.0747685,41726,1553046,10000,0
100000,115.464,0.0334391,0.0747685,46008,1608072,10000,0
110000,127.711,0.0334391,0.0747685,50298,1692561,10000,0
120000,139.462,0.0334391,0.0747685,54551,1682935,10000,0
130000,151.343,0.0334391,0.0747685,58720,1672962,10000,0
140000,164.217,0.0334391,0.0747685,63058,1741653,10000,0
150000,176.473,0.0334391,0.0747685,67208,1732024,10000,0
160000,189.447,0.0334391,0.0747685,71302,1766433,10000,0
170000,202.304,0.0334391,0.0747685,75472,1761679,10000,0
180000,215.545,0.0334391,0.0747685,79566,1792814,10000,0
190000,229.058,0.0334391,0.0747685,83590,1825708,10000,0
200000,242.692,0.0334391,0.0747685,87611,1858737,10000,0
210000,256.221,0.0334391,0.0747685,91612,1848767,10000,0
220000,269.904,0.0334391,0.0747685,95517,1838796,10000,0
230000,283.793,0.0334391,0.0747685,99383,1828826,10000,0
240000,298.419,0.0334391,0.0747685,103322,1906774,10000,0
250000,312.551,0.0334391,0.0747685,107196,1897144,10000,0
260000,327.388,0.0334391,0.0747685,111123,1930640,10000,0
270000,341.96,0.0334391,0.0747685,114954,1921697,10000,0
280000,357.271,0.0334391,0.0747685,118851,1996979,10000,0
290000,372.274,0.0334391,0.0747685,122770,1987015,10000,0
300000,387.4,0.0334391,0.0747685,126485,1977356,10000,0
310000,403.149,0.0334391,0.0747685,130362,2010410,10000,0
320000,419.178,0.0334391,0.0747685,134261,2043120,10000,0
330000,436.249,0.0334391,0.0747685,138096,2200433,10000,0
340000,452.854,0.0334391,0.0747685,141766,2272658,10000,0
350000,469.408,0.0334391,0.0747685,145416,2303213,10000,0
360000,486.066,0.0334391,0.0747685,149139,2333538,10000,0
370000,502.585,0.0334391,0.0747685,152760,2323575,10000,0
380000,519.317,0.0334391,0.0747685,156442,2313591,10000,0
390000,536.168,0.0334391,0.0747685,160116,2303622,10000,0
400000,553.288,0.0334391,0.0747685,163820,2293985,10000,0
410000,570.896,0.0334391,0.0747685,167522,2322685,10000,0
420000,588.488,0.0334391,0.0747685,171035,2312703,10000,0
430000,606.319,0.0334391,0.0747685,174643,2302735,10000,0
440000,624.323,0.0334391,0.0747685,178224,2331380,10000,0
450000,642.471,0.0334391,0.0747685,181716,2321744,10000,0
460000,660.995,0.0334391,0.0747685,185332,2350855,10000,0
470000,679.569,0.0334391,0.0747685,188869,2379303,10000,0
