iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0031069,0.0454691,0.0512792,1,34,1,0
10000,4.09529,0.0454691,0.0512792,4727,21070,9967,32
20000,7.31399,0.0454691,0.0512792,9205,25326,9909,91
30000,10.1601,0.0454691,0.0512792,13490,22048,9877,123
40000,13.0487,0.0454691,0.0512792,17436,19036,9706,294
50000,15.7116,0.0454691,0.0512792,21369,14017,9595,405
60000,18.3226,0.0454691,0.0512792,25364,17430,9572,428
70000,20.7461,0.0454691,0.0512792,28633,15170,9255,745
80000,22.9977,0.0454691,0.0512792,31351,10454,8738,1262
90000,24.8633,0.0454691,0.0512792,33642,4281,6940,3060
93247,25.1425,0.0380746,0.0380746,33733,2888,192,3055
