iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0023959,0.0444891,0.0502992,1,34,1,0
10000,4.91149,0.0444891,0.0502992,4723,38981,9980,19
20000,9.08255,0.0444891,0.0502992,9183,57604,9941,59
30000,12.7301,0.0444891,0.0502992,13536,69787,9922,78
40000,16.2551,0.0444891,0.0502992,17705,75872,9936,64
50000,19.5372,0.0444891,0.0502992,21688,78035,9900,100
60000,22.678,0.0444891,0.0502992,25510,78063,9857,143
70000,25.8547,0.0444891,0.0502992,29185,76713,9800,200
80000,28.767,0.0444891,0.0502992,32601,76312,9504,496
90000,32.3719,0.0444891,0.0502992,35644,79100,9420,580
100000,35.5705,0.0444891,0.0502992,38946,74667,9620,380
110000,37.723,0.0444891,0.0502992,42079,68017,9395,605
120000,41.1805,0.0444891,0.0502992,45460,70635,9846,154
130000,44.4844,0.0444891,0.0502992,48602,72277,9579,421
140000,47.6071,0.0444891,0.0502992,51474,72352,9805,195
150000,51.1585,0.0444891,0.0502992,53873,75460,9406,594
160000,55.0874,0.0444891,0.0502992,56460,77602,9597,403
170000,58.9648,0.0444891,0.0502992,59165,77211,9642,358
180000,62.9072,0.0444891,0.0502992,61554,73745,9839,161
190000,66.2657,0.0444891,0.0502992,63874,68272,9143,857
200000,69.8467,0.0444891,0.0502992,66090,61733,9105,895
210000,73.1907,0.0444891,0.0502992,68212,56525,9292,708
220000,76.857,0.0444891,0.0502992,70153,50998,7941,2059
230000,80.45,0.0444891,0.0502992,71975,44787,7853,2147
240000,84.7791,0.0444891,0.0502992,74098,39903,8825,1175
250000,89.5122,0.0444891,0.0502992,75885,34208,7388,2612
260000,93.9176,0.0444891,0.0502992,76882,28110,5970,4030
270000,98.6981,0.0444891,0.0502992,78283,23492,7062,2938
272004,99.3263,0.0322487,0.0322487,78524,22008,1743,261
